scale,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,rolling_method,rolling_temp,descaling_count,work_group,bf_temp
양품,미국,T,32,3700,15100,적용,1호기,1열,1144,116,1133,59,259,TMCP(온도제어),934.0,8,1조,199.0
양품,미국,T,32,3700,15100,적용,1호기,2열,1144,122,1135,53,238,TMCP(온도제어),937.0,8,1조,198.0
양품,영국,T,33,3600,19200,적용,2호기,1열,1129,116,1121,55,258,TMCP(온도제어),889.0,8,1조,232.0
양품,영국,T,33,3600,19200,적용,2호기,2열,1152,125,1127,68,266,TMCP(온도제어),885.0,8,1조,242.0
양품,프랑스,T,38,3100,13300,적용,3호기,1열,1140,134,1128,48,246,TMCP(온도제어),873.0,8,1조,255.0
양품,프랑스,T,38,3100,13300,적용,3호기,2열,1143,127,1128,57,255,TMCP(온도제어),874.0,8,1조,254.0
양품,프랑스,T,38,3100,16700,적용,1호기,1열,1138,126,1130,50,278,TMCP(온도제어),878.0,8,1조,252.0
양품,프랑스,T,38,3100,16700,적용,1호기,2열,1139,126,1131,52,272,TMCP(온도제어),870.0,8,1조,261.0
양품,프랑스,T,38,3100,16700,적용,2호기,1열,1127,126,1122,52,241,TMCP(온도제어),873.0,8,1조,249.0
불량,미국,T,38,3100,16200,적용,2호기,2열,1135,119,1124,73,290,TMCP(온도제어),881.0,7,1조,243.0
양품,공통,T,38,3100,16200,적용,2호기,2열,1135,119,1124,73,261,CR(제어압연),881.0,8,1조,243.0
양품,미국,T,38,3100,16200,적용,3호기,1열,1127,134,1123,58,252,TMCP(온도제어),869.0,8,1조,254.0
양품,공통,T,38,3100,16200,적용,3호기,1열,1127,134,1123,58,259,CR(제어압연),869.0,8,1조,254.0
양품,미국,T,38,3100,16200,적용,1호기,1열,1132,125,1127,62,280,TMCP(온도제어),820.0,8,1조,307.0
양품,공통,T,38,3100,16200,적용,1호기,1열,1132,125,1127,62,286,CR(제어압연),820.0,8,1조,307.0
불량,공통,T,38,3100,16200,적용,3호기,2열,1131,120,1125,68,259,CR(제어압연),1057.0,8,1조,68.0
양품,프랑스,T,30,1900,34800,적용,1호기,2열,1119,130,1120,65,289,TMCP(온도제어),926.0,8,1조,194.0
양품,공통,T,30,1900,34800,적용,1호기,2열,1119,130,1120,65,282,CR(제어압연),926.0,8,1조,194.0
양품,공통,T,34,2200,30500,적용,2호기,1열,1119,126,1119,72,263,CR(제어압연),931.0,8,1조,188.0
양품,독일,T,34,2200,30500,적용,2호기,1열,1119,126,1119,72,254,TMCP(온도제어),931.0,8,1조,188.0
불량,독일,T,50,2200,21800,적용,3호기,1열,1127,127,1123,71,286,TMCP(온도제어),929.0,5,1조,194.0
양품,독일,T,50,2200,21800,적용,2호기,2열,1134,127,1124,92,293,TMCP(온도제어),929.0,6,1조,195.0
양품,독일,T,50,2200,21800,적용,3호기,2열,1124,117,1124,87,289,TMCP(온도제어),929.0,6,1조,195.0
양품,독일,T,50,2200,21800,적용,1호기,1열,1129,122,1125,78,302,TMCP(온도제어),925.0,6,1조,200.0
양품,독일,T,50,2200,21800,적용,2호기,2열,1124,73,1127,78,237,TMCP(온도제어),928.0,6,1조,199.0
양품,프랑스,T,50,2000,24500,적용,1호기,2열,1110,123,1116,81,303,TMCP(온도제어),860.0,6,1조,256.0
양품,독일,T,44,2000,27500,적용,2호기,1열,1114,64,1120,82,240,TMCP(온도제어),836.0,6,1조,284.0
양품,독일,T,44,2000,27500,적용,3호기,1열,1113,124,1120,82,276,TMCP(온도제어),832.0,6,1조,288.0
양품,독일,T,48,2100,24500,적용,3호기,2열,1118,71,1124,86,216,TMCP(온도제어),832.0,6,1조,292.0
양품,독일,T,48,2100,24500,적용,1호기,1열,1117,69,1120,88,240,TMCP(온도제어),832.0,6,1조,288.0
양품,독일,T,48,2000,25600,적용,1호기,2열,1108,62,1117,97,219,TMCP(온도제어),841.0,6,1조,276.0
양품,프랑스,T,45,2200,18500,적용,2호기,1열,1123,62,1123,101,220,TMCP(온도제어),933.0,6,1조,190.0
양품,공통,T,45,2200,18500,적용,2호기,1열,1123,62,1123,101,251,CR(제어압연),933.0,6,1조,190.0
양품,프랑스,T,45,2200,18500,적용,2호기,2열,1132,70,1126,95,246,TMCP(온도제어),933.0,6,1조,193.0
양품,공통,T,45,2200,18500,적용,2호기,2열,1132,70,1126,95,231,CR(제어압연),933.0,6,1조,193.0
양품,프랑스,T,45,2200,18500,적용,3호기,1열,1129,81,1125,109,284,TMCP(온도제어),937.0,6,1조,188.0
양품,공통,T,45,2200,18500,적용,3호기,1열,1129,95,1125,109,281,CR(제어압연),937.0,6,1조,188.0
양품,프랑스,T,45,2100,18400,적용,3호기,2열,1134,70,1127,94,244,TMCP(온도제어),930.0,6,1조,197.0
양품,공통,T,45,2100,18400,적용,3호기,2열,1134,70,1127,94,268,CR(제어압연),930.0,6,1조,197.0
양품,프랑스,T,45,2100,18400,적용,1호기,1열,1124,78,1124,94,250,TMCP(온도제어),936.0,6,1조,188.0
양품,공통,T,45,2100,18400,적용,1호기,1열,1124,78,1124,94,251,CR(제어압연),936.0,6,1조,188.0
양품,프랑스,T,45,2100,18400,적용,1호기,2열,1126,74,1125,92,262,TMCP(온도제어),933.0,6,1조,192.0
양품,공통,T,45,2100,18400,적용,1호기,2열,1126,74,1125,92,245,CR(제어압연),933.0,6,1조,192.0
양품,미국,T,45,3100,14000,적용,2호기,1열,1111,61,1123,108,272,TMCP(온도제어),838.0,6,1조,285.0
양품,공통,T,45,3100,14000,적용,2호기,1열,1111,61,1123,108,272,CR(제어압연),838.0,6,1조,285.0
양품,독일,T,44,2500,15700,적용,2호기,2열,1133,75,1127,91,247,TMCP(온도제어),837.0,6,1조,290.0
양품,미국,T,51,3100,12400,적용,3호기,1열,1133,57,1125,103,238,TMCP(온도제어),862.0,6,1조,263.0
양품,미국,T,51,3100,12400,적용,3호기,2열,1127,63,1128,106,273,TMCP(온도제어),862.0,6,1조,266.0
양품,미국,T,51,3100,12400,적용,1호기,1열,1133,70,1126,91,261,TMCP(온도제어),861.0,6,1조,265.0
양품,미국,T,51,3100,12400,적용,1호기,2열,1122,57,1123,105,266,TMCP(온도제어),862.0,6,1조,261.0
양품,미국,T,51,3100,12400,적용,2호기,1열,1133,84,1124,81,223,TMCP(온도제어),856.0,6,1조,268.0
양품,미국,T,51,3100,12400,적용,2호기,2열,1133,93,1127,75,229,TMCP(온도제어),860.0,6,1조,267.0
양품,독일,T,56,3800,11400,적용,3호기,1열,1126,62,1125,106,256,TMCP(온도제어),863.0,6,1조,262.0
양품,독일,T,56,3800,11400,적용,3호기,2열,1132,95,1128,80,244,TMCP(온도제어),0.0,6,1조,1128.0
양품,프랑스,T,56,3300,11000,적용,1호기,1열,1137,89,1131,83,257,TMCP(온도제어),864.0,6,1조,267.0
양품,프랑스,T,56,3300,11000,적용,1호기,2열,1127,72,1128,100,228,TMCP(온도제어),845.0,6,1조,283.0
양품,공통,T,56,3300,11000,적용,1호기,2열,1127,72,1128,100,232,CR(제어압연),845.0,6,1조,283.0
양품,한국,T,40,4000,13900,적용,2호기,1열,1112,77,1124,97,234,CR(제어압연),808.0,6,1조,316.0
양품,영국,T,61,3100,12400,적용,2호기,2열,1125,90,1128,90,238,TMCP(온도제어),845.0,6,1조,283.0
양품,미국,T,61,2500,12000,적용,3호기,1열,1126,73,1126,107,270,TMCP(온도제어),850.0,6,1조,276.0
양품,공통,T,61,2500,12000,적용,3호기,1열,1126,73,1126,107,241,CR(제어압연),850.0,6,1조,276.0
양품,영국,T,64,3500,8000,적용,3호기,2열,1135,106,1130,84,257,TMCP(온도제어),852.0,6,1조,278.0
양품,미국,T,61,2500,12000,적용,1호기,1열,1139,101,1128,82,243,TMCP(온도제어),845.0,6,1조,283.0
양품,공통,T,61,2500,12000,적용,1호기,1열,1139,101,1128,82,264,CR(제어압연),845.0,6,1조,283.0
양품,미국,T,61,2500,12000,적용,1호기,2열,1129,84,1128,98,243,TMCP(온도제어),845.0,6,1조,283.0
양품,공통,T,61,2500,12000,적용,1호기,2열,1129,84,1128,98,274,CR(제어압연),845.0,6,1조,283.0
양품,영국,T,64,3500,8000,적용,2호기,1열,1131,106,1125,76,280,TMCP(온도제어),847.0,6,1조,278.0
양품,미국,T,61,2500,12000,적용,2호기,2열,1137,116,1129,71,260,TMCP(온도제어),849.0,6,1조,280.0
양품,공통,T,61,2500,12000,적용,2호기,2열,1137,116,1129,71,272,CR(제어압연),849.0,6,2조,280.0
양품,미국,T,64,3100,10400,적용,3호기,1열,1130,84,1129,101,286,TMCP(온도제어),845.0,6,2조,284.0
양품,미국,T,64,3100,10400,적용,3호기,2열,1140,114,1132,74,275,TMCP(온도제어),844.0,6,2조,288.0
양품,프랑스,T,61,2100,16600,적용,1호기,1열,1141,113,1133,73,260,TMCP(온도제어),852.0,6,2조,281.0
양품,영국,T,66,3200,11800,적용,1호기,2열,1142,121,1135,75,280,TMCP(온도제어),853.0,6,2조,282.0
양품,프랑스,T,68,3300,11000,적용,2호기,1열,1137,110,1128,75,282,TMCP(온도제어),851.0,6,2조,277.0
양품,프랑스,T,68,3300,11000,적용,2호기,2열,1134,111,1129,72,250,TMCP(온도제어),850.0,6,2조,279.0
양품,미국,T,66,2500,12000,적용,3호기,1열,1138,99,1129,86,253,TMCP(온도제어),847.0,6,2조,282.0
양품,공통,T,66,2500,12000,적용,3호기,1열,1138,99,1129,86,258,CR(제어압연),847.0,6,2조,282.0
양품,미국,T,66,2500,12000,적용,3호기,2열,1137,109,1132,73,250,TMCP(온도제어),849.0,6,2조,283.0
양품,공통,T,66,2500,12000,적용,3호기,2열,1137,109,1132,73,269,CR(제어압연),849.0,6,2조,283.0
양품,미국,T,66,2500,12000,적용,1호기,1열,1142,110,1134,73,275,TMCP(온도제어),851.0,6,2조,283.0
불량,공통,T,66,2500,12000,적용,1호기,1열,1142,110,1134,73,276,CR(제어압연),851.0,5,2조,283.0
양품,미국,T,66,2500,12000,적용,1호기,2열,1144,110,1136,72,251,TMCP(온도제어),847.0,6,2조,289.0
양품,공통,T,66,2500,12000,적용,1호기,2열,1144,110,1136,72,255,CR(제어압연),847.0,6,2조,289.0
양품,미국,T,66,2500,12000,적용,2호기,1열,1137,98,1129,73,236,TMCP(온도제어),847.0,6,2조,282.0
양품,공통,T,66,2500,12000,적용,2호기,1열,1137,98,1129,73,238,CR(제어압연),847.0,6,2조,282.0
양품,미국,T,66,2500,12000,적용,2호기,2열,1135,101,1130,73,232,TMCP(온도제어),844.0,6,2조,286.0
양품,공통,T,66,2500,12000,적용,2호기,2열,1135,101,1130,73,258,CR(제어압연),844.0,6,2조,286.0
양품,프랑스,T,71,2700,11000,적용,3호기,1열,1142,109,1130,73,266,TMCP(온도제어),840.0,6,2조,290.0
양품,프랑스,T,71,2700,11000,적용,3호기,2열,1145,109,1134,69,258,TMCP(온도제어),846.0,6,2조,288.0
양품,프랑스,T,74,2700,11000,적용,1호기,1열,1144,112,1134,67,241,TMCP(온도제어),844.0,6,2조,290.0
양품,프랑스,T,74,2700,11000,적용,1호기,2열,1147,122,1138,51,279,TMCP(온도제어),846.0,6,2조,292.0
양품,프랑스,T,74,2700,11000,적용,2호기,1열,1136,115,1126,55,272,TMCP(온도제어),844.0,6,2조,282.0
양품,프랑스,T,74,2700,11000,적용,2호기,2열,1138,110,1130,56,254,TMCP(온도제어),849.0,6,2조,281.0
양품,프랑스,T,74,2700,11000,적용,3호기,1열,1139,107,1129,67,260,TMCP(온도제어),834.0,6,2조,295.0
불량,프랑스,T,74,2700,11000,미적용,3호기,2열,1142,93,1134,61,235,TMCP(온도제어),847.0,6,2조,287.0
양품,영국,T,71,2300,12900,적용,1호기,1열,1129,91,1126,61,217,TMCP(온도제어),842.0,6,2조,284.0
양품,프랑스,T,74,2700,9800,적용,1호기,2열,1123,106,1124,62,267,TMCP(온도제어),845.0,6,2조,279.0
양품,공통,T,74,2700,9800,적용,1호기,2열,1123,106,1124,62,246,CR(제어압연),845.0,6,2조,279.0
양품,독일,T,76,2500,14100,적용,3호기,1열,1126,103,1125,61,251,TMCP(온도제어),843.0,6,2조,282.0
양품,프랑스,T,74,2700,9800,적용,2호기,2열,1113,96,1122,68,255,TMCP(온도제어),773.0,6,2조,349.0
양품,공통,T,74,2700,9800,적용,2호기,2열,1113,96,1122,68,258,CR(제어압연),773.0,6,2조,349.0
불량,프랑스,T,76,2700,9700,적용,3호기,2열,1123,79,1126,61,231,TMCP(온도제어),760.0,5,2조,366.0
양품,공통,T,76,2700,9700,적용,3호기,2열,1123,79,1126,61,206,CR(제어압연),760.0,6,2조,366.0
양품,독일,T,76,2500,14100,적용,2호기,1열,1133,94,1125,76,269,TMCP(온도제어),859.0,6,2조,266.0
양품,독일,T,76,2500,9200,적용,1호기,1열,1132,79,1127,83,232,TMCP(온도제어),842.0,6,2조,285.0
불량,독일,T,76,2500,9200,미적용,1호기,2열,1142,82,1131,69,213,TMCP(온도제어),847.0,6,2조,284.0
양품,독일,T,76,2500,9000,적용,2호기,2열,1131,77,1125,95,248,TMCP(온도제어),844.0,6,2조,281.0
양품,독일,T,76,2500,9000,적용,2호기,1열,1132,78,1124,85,223,TMCP(온도제어),843.0,6,2조,281.0
양품,독일,T,76,2500,9300,적용,3호기,1열,1132,77,1124,101,281,TMCP(온도제어),843.0,6,2조,281.0
양품,공통,T,76,2500,9600,적용,3호기,2열,1131,80,1126,98,235,CR(제어압연),843.0,6,2조,283.0
양품,독일,T,76,2500,9600,적용,3호기,2열,1131,80,1126,98,244,TMCP(온도제어),843.0,6,2조,283.0
양품,미국,T,76,2500,9500,적용,1호기,1열,1130,79,1125,98,278,TMCP(온도제어),840.0,6,2조,285.0
불량,미국,T,83,2600,10400,미적용,1호기,2열,1124,77,1124,99,250,TMCP(온도제어),846.0,6,2조,278.0
양품,미국,T,83,2600,10400,적용,2호기,1열,1116,77,1122,100,277,TMCP(온도제어),839.0,6,2조,283.0
양품,미국,T,90,2600,10400,적용,2호기,2열,1130,78,1125,100,256,TMCP(온도제어),843.0,6,2조,282.0
양품,미국,T,90,2600,10400,적용,3호기,1열,1129,87,1123,104,264,TMCP(온도제어),844.0,6,2조,279.0
양품,미국,T,90,2600,10400,적용,3호기,2열,1129,78,1126,100,261,TMCP(온도제어),841.0,6,2조,285.0
양품,프랑스,C,20,3600,39300,적용,3호기,1열,1129,76,1126,118,297,CR(제어압연),934.0,8,2조,192.0
양품,프랑스,C,20,3600,39500,적용,3호기,2열,1140,68,1132,104,235,CR(제어압연),911.0,8,2조,221.0
양품,미국,C,17,3400,39600,적용,2호기,2열,1130,71,1130,112,240,CR(제어압연),935.0,10,2조,195.0
양품,영국,C,17,3400,39600,적용,2호기,2열,1130,71,1130,112,287,CR(제어압연),935.0,10,2조,195.0
양품,일본,C,14,3300,51200,적용,1호기,1열,1140,80,1131,117,286,CR(제어압연),915.0,10,2조,216.0
양품,일본,C,14,3300,51200,적용,1호기,2열,1142,74,1132,123,284,CR(제어압연),923.0,10,2조,209.0
양품,일본,C,14,3300,51200,적용,2호기,1열,1142,75,1131,122,284,CR(제어압연),913.0,10,2조,218.0
양품,프랑스,C,20,3400,41300,적용,3호기,1열,1134,69,1132,119,251,CR(제어압연),977.0,8,2조,155.0
양품,프랑스,C,20,3400,40300,적용,3호기,2열,1135,68,1142,103,273,CR(제어압연),985.0,8,2조,157.0
양품,일본,C,14,3300,51200,적용,1호기,1열,1143,65,1136,118,285,CR(제어압연),955.0,10,2조,181.0
양품,일본,C,14,3300,49100,적용,1호기,2열,1140,65,1136,119,245,CR(제어압연),955.0,10,2조,181.0
양품,일본,C,14,3300,51200,적용,2호기,1열,1147,83,1141,108,267,CR(제어압연),950.0,10,2조,191.0
양품,일본,C,14,3300,49100,적용,2호기,2열,1136,72,1145,117,244,CR(제어압연),952.0,10,2조,193.0
양품,일본,C,14,3300,49100,적용,1호기,1열,1131,70,1141,120,258,CR(제어압연),956.0,10,2조,185.0
양품,일본,C,14,3300,49100,적용,1호기,2열,1133,69,1143,123,282,CR(제어압연),920.0,10,2조,223.0
양품,일본,C,14,3300,44900,적용,2호기,2열,1145,114,1150,78,261,CR(제어압연),959.0,10,2조,191.0
양품,일본,C,14,3300,49100,적용,2호기,1열,1140,101,1151,95,263,CR(제어압연),918.0,10,2조,233.0
양품,일본,C,14,3100,41800,적용,3호기,1열,1129,65,1148,131,254,CR(제어압연),930.0,10,2조,218.0
불량,일본,C,14,3100,41800,적용,3호기,2열,1151,104,1155,75,262,CR(제어압연),930.0,9,2조,225.0
양품,일본,C,14,3100,41800,적용,1호기,1열,1154,121,1156,72,298,CR(제어압연),944.0,10,2조,212.0
양품,일본,C,14,3100,41800,적용,1호기,2열,1144,88,1154,107,273,CR(제어압연),930.0,10,2조,224.0
양품,일본,C,16,3100,39600,적용,2호기,2열,1144,118,1157,72,264,CR(제어압연),976.0,10,2조,181.0
양품,일본,C,16,2800,49700,적용,2호기,1열,1151,117,1158,80,262,CR(제어압연),956.0,10,2조,202.0
불량,한국,C,16,3100,54300,미적용,3호기,1열,1148,103,1153,91,288,CR(제어압연),937.0,10,2조,216.0
양품,일본,C,18,3100,41800,적용,3호기,2열,1150,118,1158,73,259,CR(제어압연),950.0,10,2조,208.0
불량,일본,C,18,3100,41800,적용,1호기,1열,1158,130,1162,54,272,CR(제어압연),1004.0,10,2조,158.0
양품,일본,C,18,3100,41800,적용,1호기,2열,1159,132,1164,54,286,CR(제어압연),961.0,10,1조,203.0
양품,일본,C,18,3100,41800,적용,2호기,1열,1146,108,1163,88,270,CR(제어압연),996.0,10,1조,167.0
불량,일본,C,18,3100,41800,적용,2호기,2열,1144,128,1159,65,290,CR(제어압연),995.0,9,1조,164.0
양품,일본,C,18,3100,41800,적용,3호기,1열,1141,106,1156,87,269,CR(제어압연),953.0,10,1조,203.0
양품,영국,C,17,2900,43100,적용,3호기,2열,1134,119,1158,72,262,CR(제어압연),956.0,10,1조,202.0
양품,일본,C,20,3100,39300,적용,1호기,1열,1167,131,1165,55,246,CR(제어압연),992.0,8,1조,173.0
양품,일본,C,20,3100,39300,적용,1호기,2열,1169,136,1167,56,294,CR(제어압연),988.0,8,1조,179.0
양품,일본,C,21,3000,43200,적용,3호기,1열,1135,120,1157,67,288,CR(제어압연),982.0,8,1조,175.0
양품,한국,C,14,2700,53900,적용,2호기,1열,1165,135,1164,61,263,CR(제어압연),967.0,10,1조,197.0
양품,일본,C,15,2500,43200,적용,2호기,2열,1143,118,1162,79,301,CR(제어압연),975.0,10,1조,187.0
불량,일본,C,16,2600,36800,적용,3호기,2열,1155,119,1166,72,250,CR(제어압연),1008.0,10,1조,158.0
불량,일본,C,16,2500,37400,적용,1호기,1열,1172,130,1166,62,256,CR(제어압연),1018.0,10,1조,148.0
불량,일본,C,16,2600,42900,적용,1호기,2열,1170,129,1167,64,267,CR(제어압연),1006.0,10,1조,161.0
양품,미국,C,15,2600,42400,적용,2호기,1열,1165,113,1164,71,242,CR(제어압연),999.0,10,1조,165.0
양품,프랑스,C,15,2600,42400,적용,2호기,1열,1165,113,1164,71,266,CR(제어압연),999.0,10,1조,165.0
불량,프랑스,C,17,2500,42700,적용,2호기,2열,1163,121,1163,70,258,CR(제어압연),1005.0,10,1조,158.0
불량,프랑스,C,18,2500,44000,적용,3호기,1열,1162,134,1162,62,253,CR(제어압연),1008.0,9,1조,154.0
불량,일본,C,18,2500,42700,적용,3호기,2열,1167,130,1166,63,249,CR(제어압연),1012.0,10,1조,154.0
불량,프랑스,C,19,2800,42900,적용,1호기,1열,1171,111,1165,60,243,CR(제어압연),1002.0,10,1조,163.0
불량,미국,C,19,2400,40000,적용,1호기,2열,1171,110,1167,61,272,CR(제어압연),1023.0,10,1조,144.0
불량,일본,C,20,2600,48900,적용,3호기,1열,1171,92,1166,56,206,CR(제어압연),1015.0,8,1조,151.0
불량,한국,C,20,2500,41100,적용,2호기,1열,1166,114,1165,60,240,CR(제어압연),1021.0,8,1조,144.0
불량,한국,C,20,2700,46000,적용,2호기,2열,1159,95,1165,65,229,CR(제어압연),1011.0,7,1조,154.0
불량,한국,C,20,2700,46000,적용,2호기,2열,1159,95,1165,65,233,CR(제어압연),1011.0,8,1조,154.0
불량,일본,C,20,2400,42700,적용,3호기,2열,1172,80,1169,72,238,CR(제어압연),1013.0,8,1조,156.0
불량,일본,C,20,2600,48800,적용,1호기,2열,1162,111,1164,69,273,CR(제어압연),1019.0,8,1조,145.0
불량,일본,C,20,2600,48800,적용,1호기,1열,1169,76,1166,74,241,CR(제어압연),1006.0,8,1조,160.0
불량,일본,C,20,2600,44800,적용,2호기,1열,1176,94,1170,59,256,CR(제어압연),1026.0,8,1조,144.0
불량,일본,C,20,2500,38700,적용,2호기,2열,1171,91,1170,57,235,CR(제어압연),1027.0,7,1조,143.0
불량,일본,C,20,2600,45800,적용,3호기,1열,1175,91,1167,60,214,CR(제어압연),1020.0,8,1조,147.0
불량,일본,C,20,2600,48800,적용,3호기,2열,1175,88,1169,61,250,CR(제어압연),1014.0,8,1조,155.0
불량,일본,C,20,2500,33500,적용,1호기,1열,1173,57,1168,73,210,CR(제어압연),1022.0,8,1조,146.0
불량,한국,C,21,2700,49900,적용,3호기,1열,1167,78,1165,63,231,CR(제어압연),1007.0,8,1조,158.0
불량,일본,C,22,2600,50000,적용,3호기,2열,1171,89,1167,50,214,CR(제어압연),1007.0,8,1조,160.0
불량,영국,C,22,2600,50000,적용,3호기,2열,1171,89,1167,50,244,CR(제어압연),1007.0,8,1조,160.0
불량,영국,C,22,2600,50000,적용,3호기,2열,1171,89,1167,50,198,CR(제어압연),1007.0,8,1조,160.0
불량,일본,C,20,2600,36500,적용,2호기,1열,1176,73,1169,56,200,CR(제어압연),1017.0,7,1조,152.0
불량,프랑스,C,20,2600,42100,적용,2호기,2열,1175,85,1167,58,245,CR(제어압연),1006.0,8,1조,161.0
불량,영국,C,20,2600,42100,적용,2호기,2열,1175,85,1167,58,244,CR(제어압연),1006.0,8,1조,161.0
불량,한국,C,23,2800,43500,적용,1호기,2열,1174,58,1169,82,224,CR(제어압연),1007.0,8,1조,162.0
불량,일본,C,25,2500,31400,적용,1호기,1열,1166,73,1164,57,233,CR(제어압연),1022.0,8,1조,142.0
불량,한국,C,30,2500,37800,적용,3호기,1열,1168,89,1164,50,213,CR(제어압연),1031.0,7,1조,133.0
불량,일본,C,35,2500,31200,적용,1호기,2열,1159,61,1162,72,218,CR(제어압연),1030.0,8,1조,132.0
불량,일본,C,35,2500,31200,적용,3호기,2열,1164,79,1167,61,239,CR(제어압연),1062.0,8,1조,105.0
불량,일본,C,40,2500,25100,적용,2호기,1열,1174,74,1167,60,228,CR(제어압연),1078.0,6,1조,89.0
불량,일본,C,40,2500,25100,적용,2호기,2열,1167,77,1165,58,222,CR(제어압연),1066.0,6,1조,99.0
불량,일본,C,55,2500,15300,적용,1호기,1열,1155,77,1155,55,229,CR(제어압연),1056.0,6,1조,99.0
불량,한국,C,35,2000,29900,적용,2호기,1열,1162,80,1162,47,207,CR(제어압연),1054.0,8,1조,108.0
불량,일본,C,80,2500,10500,적용,1호기,2열,1157,68,1159,67,221,CR(제어압연),1068.0,6,1조,91.0
불량,일본,C,40,2200,33400,적용,3호기,1열,1155,73,1161,55,213,CR(제어압연),1054.0,6,1조,107.0
불량,한국,C,35,2000,29900,적용,2호기,2열,1159,83,1160,52,232,CR(제어압연),1053.0,8,1조,107.0
양품,한국,C,32,2200,37400,적용,3호기,2열,1172,78,1167,52,227,CR(제어압연),902.0,8,1조,265.0
양품,한국,C,32,2200,37400,적용,1호기,1열,1163,77,1160,64,202,CR(제어압연),907.0,8,1조,253.0
